µçÑ¹,µçÁ÷
237.444,0.028
245.905,0.028
256.052,0.028
264.59,0.036
272.027,0.303
278.87,1.416
285.196,2.572
290.854,2.94
295.851,2.922
300.367,2.782
304.776,2.716
309.879,2.882
315.23,2.99
319.978,2.844
323.695,2.499
326.234,2.031
327.947,1.632
329.399,1.413
330.705,1.277
331.725,1.127
332.281,0.927
332.257,0.683
331.13,0.359
326.307,0.06
314.49,-0.025
297.937,-0.029
283.394,-0.029
273.828,-0.029
265.009,-0.029
255.261,-0.029
245.408,-0.029
234.833,-0.029
222.989,-0.03
210.236,-0.03
197.253,-0.03
184.618,-0.03
171.13,-0.03
157.015,-0.03
143.265,-0.03
128.49,-0.031
113.15,-0.031
97.554,-0.031
80.742,-0.031
62.891,-0.031
46.085,-0.031
30.938,-0.032
15.188,-0.032
-1.154,-0.032
-18.618,-0.032
-35.968,-0.032
-52.797,-0.033
-69.817,-0.033
-85.529,-0.033
-100.133,-0.033
-114.162,-0.033
-128.475,-0.033
-142.665,-0.034
-156.104,-0.034
-170.722,-0.034
-184.406,-0.034
-197.091,-0.034
-210.202,-0.034
-221.927,-0.034
-230.763,-0.034
-237.89,-0.035
-246.403,-0.035
-256.265,-0.035
-264.417,-0.041
-271.678,-0.271
-278.49,-1.323
-284.675,-2.477
-290.088,-2.836
-294.846,-2.823
-299.664,-2.847
-304.9,-2.973
-310.428,-3.093
-315.67,-3.038
-320.162,-2.798
-323.725,-2.445
-326.216,-2.006
-327.941,-1.632
-329.442,-1.425
-330.804,-1.302
-331.886,-1.162
-332.509,-0.966
-332.548,-0.722
-331.508,-0.396
-326.808,-0.079
-315.047,0.019
-298.443,0.023
-283.616,0.023
-273.891,0.023
-265.268,0.023
-255.885,0.023
-246.379,0.024
-235.974,0.024
-224.149,0.024
-211.218,0.024
-197.84,0.024
-184.689,0.024
-171.106,0.024
-157.023,0.024
-143.157,0.024
-128.458,0.025
-113.319,0.025
-97.736,0.025
-80.772,0.025
-62.993,0.025
-46.774,0.026
-32.324,0.026
-16.877,0.026
-0.616,0.026
16.917,0.026
34.633,0.026
51.884,0.027
69.039,0.027
84.883,0.027
100.105,0.027
114.876,0.027
129.33,0.027
142.981,0.027
155.607,0.027
169.855,0.028
183.441,0.028
196.166,0.028
209.358,0.028
221.115,0.028
230.03,0.028
237.069,0.028
245.322,0.028
255.377,0.028
263.944,0.033
271.382,0.244
278.307,1.276
284.67,2.489
290.396,2.927
295.447,2.932
300.025,2.8
304.43,2.717
309.488,2.871
314.838,2.988
319.638,2.856
323.437,2.526
326.088,2.073
327.855,1.664
329.329,1.432
330.657,1.291
331.709,1.141
332.311,0.946
332.322,0.704
331.304,0.385
326.83,0.075
315.491,-0.024
299.2,-0.029
284.348,-0.029
274.4,-0.029
265.612,-0.029
256.01,-0.029
246.282,-0.029
235.686,-0.029
223.809,-0.03
211.08,-0.03
198.09,-0.03
185.397,-0.03
171.968,-0.03
157.858,-0.03
144.11,-0.03
129.393,-0.031
114.286,-0.031
98.996,-0.031
82.259,-0.031
64.258,-0.031
47.18,-0.031
31.903,-0.032
16.276,-0.032
0.108,-0.032
-17.243,-0.032
-34.819,-0.032
-51.974,-0.032
-69.15,-0.033
-84.81,-0.033
-99.179,-0.033
-113.059,-0.033
-127.331,-0.033
-141.764,-0.033
-155.146,-0.034
-169.562,-0.034
-183.144,-0.034
-195.832,-0.034
-209.174,-0.034
-221.11,-0.034
-230.188,-0.034
-237.325,-0.034
-245.682,-0.034
-255.637,-0.035
-263.968,-0.039
-271.227,-0.23
-278.04,-1.216
-284.209,-2.4
-289.598,-2.799
-294.296,-2.792
-299.044,-2.818
-304.259,-2.955
